EMPLOYEE_ID,JOB_ROLE,TEAM_SIZE,MONTHLY_EXTRA_HOURS,EXTRA_HOLIDAYS,TODO_COMPLETED,BMI_RANGE,DAILY_STEPS_IN_THOUSAND,SLEEP_HOURS,DAILY_STRESS,TIME_FOR_HOBBY,HEALTHY_MEALS_PER_WEEK,SUFFICIENT_INCOME,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
20,Logistics Coordinator,0,10,5,8,2,8,7,4,6,9,2,21 to 35,Female,717.2
21,Environmental and Sustainability Manager,0,3,5,5,2,1,6,3,0,2,2,51 or more,Male,623.8
22,Maintenance Technician,9,10,4,8,1,10,7,2,3,6,2,Less than 20,Male,681.9
23,Environmental and Sustainability Manager,0,2,3,5,2,6,7,3,6,6,1,36 to 50,Female,645.4
24,City Bus Driver,10,10,5,8,2,9,6,5,10,6,2,51 or more,Female,705.3
25,Logistics Coordinator,0,10,4,8,2,6,7,3,1,7,2,51 or more,Female,687.9
26,Environmental and Sustainability Manager,0,3,0,4,1,2,7,2,1,2,2,21 to 35,Female,624.2
27,Environmental and Sustainability Manager,0,5,5,9,2,10,7,1,6,10,1,21 to 35,Male,717.6
28,Operations Manager,0,10,5,5,1,5,7,3,7,3,2,36 to 50,Female,718.3
29,Logistics Coordinator,0,2,1,2,2,4,6,5,1,1,1,51 or more,Male,564.9
30,Fleet Manager,8,10,1,5,2,2,10,0,0,2,2,21 to 35,Male,611.2
31,Fleet Manager,10,0,1,3,2,8,7,5,0,1,2,51 or more,Female,537
32,Depot Driver,3,10,4,8,1,7,7,1,5,7,2,21 to 35,Male,756.1
33,Depot Driver,10,3,1,8,2,10,6,5,1,2,2,51 or more,Female,617.1
34,Logistics Coordinator,3,10,1,7,2,1,9,4,0,3,2,36 to 50,Female,617.6
35,Intercity Bus Driver,0,2,5,9,1,7,9,0,3,10,2,51 or more,Female,734.4
36,Train Conductor,0,2,5,0,1,1,8,5,0,1,2,51 or more,Female,612.3
37,Environmental and Sustainability Manager,0,4,4,8,2,4,6,2,10,4,2,36 to 50,Female,697.5
38,Depot Driver,0,5,3,4,2,2,7,4,1,8,2,36 to 50,Female,636.1
39,Operations Manager,0,10,3,7,2,8,6,3,7,6,2,21 to 35,Female,664.3
40,Environmental and Sustainability Manager,5,6,3,5,1,1,7,2,2,7,2,51 or more,Female,656.3
41,Environmental and Sustainability Manager,1,10,5,9,1,7,8,1,5,10,2,36 to 50,Male,778.4
42,Train Conductor,0,6,1,7,2,4,8,2,3,6,1,21 to 35,Female,652
43,Train Conductor,10,10,5,5,1,10,6,5,8,0,1,21 to 35,Male,669.8
44,Train Conductor,0,1,2,5,2,2,4,1,1,7,2,36 to 50,Female,627
45,Fleet Manager,4,4,4,9,2,10,7,3,6,4,2,21 to 35,Male,688.7
46,Maintenance Technician,4,10,3,5,2,7,6,3,1,4,2,51 or more,Male,660.7
47,Depot Driver,0,3,5,9,1,10,6,5,1,0,2,51 or more,Female,698.7
48,Environmental and Sustainability Manager,0,10,5,8,1,5,9,3,1,10,2,Less than 20,Female,713.6
49,City Bus Driver,0,3,5,7,1,7,7,2,3,10,2,36 to 50,Female,691.5
50,Logistics Coordinator,1,2,2,0,1,4,9,5,4,3,1,21 to 35,Male,611.4
51,Fleet Manager,0,5,5,1,1,5,4,5,3,0,1,36 to 50,Female,636.1
52,Train Conductor,2,7,1,6,1,7,6,2,2,5,2,21 to 35,Female,652.2
53,Operations Manager,1,7,5,5,1,7,6,3,1,10,2,21 to 35,Male,687.9
54,Depot Driver,0,10,2,4,1,1,10,3,4,4,1,Less than 20,Female,660.3
55,Environmental and Sustainability Manager,3,4,5,5,1,2,7,4,7,5,2,Less than 20,Female,710.9
56,Fleet Manager,0,2,2,5,2,3,6,4,1,3,2,51 or more,Female,597
57,Depot Driver,0,10,5,8,2,3,8,4,1,5,1,21 to 35,Female,685.8
58,Maintenance Technician,1,5,5,3,1,4,6,3,2,3,2,51 or more,Female,665.2
59,Environmental and Sustainability Manager,10,4,1,3,1,5,6,4,2,0,2,51 or more,Female,594
60,Depot Driver,8,10,5,4,1,10,6,4,6,4,2,21 to 35,Female,681.7
61,Maintenance Technician,0,7,5,3,1,4,7,3,3,3,2,51 or more,Female,653.5
62,Depot Driver,0,7,4,8,2,5,8,3,4,6,2,36 to 50,Female,698.1
63,Environmental and Sustainability Manager,4,10,0,6,1,10,7,4,1,4,1,21 to 35,Male,642.8
64,Train Conductor,0,10,1,9,1,8,8,4,1,8,2,Less than 20,Female,702.1
65,Fleet Manager,0,10,5,5,1,5,8,1,6,4,2,36 to 50,Male,706.6
66,Environmental and Sustainability Manager,0,10,2,7,1,10,7,2,10,7,2,36 to 50,Male,721
67,Maintenance Technician,0,4,2,9,2,2,9,4,2,10,1,36 to 50,Male,643.3
68,Fleet Manager,10,4,5,5,2,10,6,5,5,8,1,36 to 50,Female,620.5
69,Depot Driver,0,10,5,6,1,8,7,3,2,10,2,21 to 35,Male,727.4
70,Train Conductor,0,4,2,7,1,5,6,3,2,3,1,21 to 35,Male,641.6
71,Train Conductor,0,2,1,10,1,3,8,2,3,6,1,21 to 35,Male,665.4
72,Logistics Coordinator,10,10,5,3,1,5,10,1,0,2,1,Less than 20,Female,618.6
73,Logistics Coordinator,0,4,1,7,2,8,6,1,3,3,2,21 to 35,Male,657.5
74,Depot Driver,1,2,3,4,1,9,9,3,3,5,1,21 to 35,Male,661.7
75,Environmental and Sustainability Manager,0,8,0,5,1,8,7,3,6,3,2,21 to 35,Female,681.5
76,Intercity Bus Driver,5,6,2,10,1,3,8,1,3,5,1,21 to 35,Female,682.4
77,Environmental and Sustainability Manager,3,10,5,6,1,4,7,5,5,3,2,21 to 35,Male,690.9
78,City Bus Driver,7,6,1,1,2,10,6,5,2,5,1,Less than 20,Male,601.8
79,Depot Driver,0,8,5,5,2,10,7,3,8,7,2,21 to 35,Female,732.9
80,Intercity Bus Driver,2,10,2,4,2,1,6,4,0,3,1,21 to 35,Female,593.2
81,Logistics Coordinator,0,3,0,7,1,10,5,4,3,8,2,Less than 20,Male,659.4
82,Maintenance Technician,3,8,5,4,2,4,8,3,4,5,1,36 to 50,Female,674.1
83,Logistics Coordinator,0,6,0,4,2,4,6,2,1,10,2,Less than 20,Male,614.2
84,Train Conductor,10,4,5,8,2,2,5,0,10,10,1,51 or more,Female,691.8
85,Logistics Coordinator,0,10,1,7,1,6,6,2,8,8,2,36 to 50,Female,716.6
86,Fleet Manager,10,10,5,7,1,10,4,1,10,10,2,36 to 50,Female,766.3
87,Depot Driver,10,7,0,7,1,8,8,2,0,5,2,36 to 50,Female,674.9
88,Logistics Coordinator,0,5,2,8,1,5,7,1,0,7,2,36 to 50,Female,682.6
89,Maintenance Technician,0,10,1,6,1,9,7,1,3,7,2,Less than 20,Female,727.6
90,City Bus Driver,0,10,4,9,1,10,6,2,0,7,2,51 or more,Female,705.5
91,Operations Manager,3,2,3,4,1,2,7,1,2,3,2,21 to 35,Male,646.3
92,Train Conductor,10,8,3,6,2,5,8,4,3,4,2,36 to 50,Female,648.8
93,Depot Driver,0,7,0,4,1,5,10,5,3,3,1,Less than 20,Male,633.9
94,Maintenance Technician,0,10,3,6,2,5,6,1,7,10,2,36 to 50,Female,701.1
95,City Bus Driver,6,10,5,3,2,7,6,3,2,3,2,Less than 20,Female,669.2
96,Train Conductor,2,1,0,2,1,2,8,1,2,3,1,21 to 35,Male,600.6
97,Operations Manager,0,8,5,9,2,3,7,4,2,5,2,36 to 50,Female,682.2
98,Intercity Bus Driver,5,4,2,6,1,3,7,2,1,5,2,21 to 35,Female,634.6
99,Environmental and Sustainability Manager,0,7,1,8,1,5,7,2,0,0,2,21 to 35,Male,670.7
100,Logistics Coordinator,0,1,2,1,2,3,10,3,0,0,1,21 to 35,Male,582.5
101,Depot Driver,1,10,5,7,1,5,6,3,2,4,2,21 to 35,Male,684.1
102,Train Conductor,10,10,4,6,1,4,7,5,2,10,2,21 to 35,Female,707.9
103,Intercity Bus Driver,0,5,1,7,2,2,6,3,8,10,2,36 to 50,Male,681.8
104,City Bus Driver,0,10,5,3,1,5,7,2,10,6,2,36 to 50,Female,740.4
105,City Bus Driver,0,4,5,4,1,9,8,5,3,5,1,51 or more,Female,683.6
106,Operations Manager,10,3,4,8,1,3,7,3,4,4,2,36 to 50,Male,648.2
107,Intercity Bus Driver,0,10,5,2,1,6,8,2,1,7,2,36 to 50,Male,705.1
108,Environmental and Sustainability Manager,10,2,0,2,2,2,8,5,0,3,1,21 to 35,Male,541.1
109,Intercity Bus Driver,2,10,3,8,1,6,9,3,3,6,2,21 to 35,Female,708.7
110,Maintenance Technician,10,3,1,4,1,10,7,5,3,1,1,21 to 35,Female,620.7
111,Environmental and Sustainability Manager,0,5,3,9,2,5,8,3,3,10,2,36 to 50,Male,704.9
112,Logistics Coordinator,2,6,2,8,1,6,9,3,9,6,2,Less than 20,Female,718.9
113,Fleet Manager,0,4,0,6,1,7,9,3,3,2,2,21 to 35,Female,669.8
114,Intercity Bus Driver,0,3,1,5,1,8,7,3,5,8,2,51 or more,Female,690
115,Train Conductor,0,3,0,3,1,6,7,3,0,3,1,Less than 20,Male,609.7
116,Depot Driver,0,10,5,8,2,6,7,3,1,10,2,21 to 35,Female,710
117,Fleet Manager,10,10,0,3,1,10,6,4,0,4,2,36 to 50,Male,654.5
118,Intercity Bus Driver,0,7,5,4,2,4,7,4,2,3,2,51 or more,Male,628
119,Train Conductor,0,10,5,7,2,7,7,4,8,8,2,36 to 50,Male,723.8
120,Depot Driver,1,6,3,7,1,5,7,2,1,6,2,21 to 35,Female,662.2
121,Logistics Coordinator,4,6,2,7,1,3,8,1,3,5,2,Less than 20,Male,699.4
122,Train Conductor,8,4,3,2,1,4,9,3,0,5,1,21 to 35,Female,599.5
123,Intercity Bus Driver,6,3,5,6,1,10,7,3,5,4,2,51 or more,Female,712.5
124,Train Conductor,0,10,4,5,1,10,7,1,6,4,2,36 to 50,Male,695.5
125,Maintenance Technician,2,3,1,2,2,4,6,2,2,4,2,21 to 35,Female,610.8
126,Fleet Manager,2,10,0,2,1,5,7,1,1,8,2,Less than 20,Female,663.9
127,Logistics Coordinator,0,2,4,7,2,7,9,1,2,3,2,51 or more,Female,661.3
128,Train Conductor,0,2,5,4,2,4,7,1,1,6,2,36 to 50,Female,663.7
129,Environmental and Sustainability Manager,2,4,1,1,1,10,6,4,1,4,2,51 or more,Female,622.2
130,Operations Manager,0,4,5,5,1,10,7,2,4,4,1,21 to 35,Male,683.6
131,Train Conductor,10,10,0,2,2,4,6,5,1,2,2,36 to 50,Female,610.8
132,Environmental and Sustainability Manager,10,2,3,5,2,3,6,1,4,3,1,21 to 35,Female,602.1
133,Depot Driver,2,6,4,4,1,8,8,2,1,4,2,36 to 50,Female,676.6
134,Logistics Coordinator,10,10,0,9,2,5,6,4,1,5,1,36 to 50,Male,629.7
135,Environmental and Sustainability Manager,0,10,5,6,2,6,6,4,5,3,2,51 or more,Female,672.4
136,Logistics Coordinator,10,3,4,5,2,4,6,3,5,5,2,51 or more,Male,672
137,Train Conductor,4,5,5,3,1,10,6,3,1,7,2,36 to 50,Female,702.1
138,Depot Driver,2,4,0,5,1,6,8,3,1,7,2,21 to 35,Female,643.9
139,Logistics Coordinator,8,10,3,7,1,10,7,5,8,3,2,36 to 50,Female,683.6
140,Train Conductor,0,8,0,3,1,5,7,5,2,10,2,Less than 20,Female,643.5
141,Fleet Manager,7,3,5,6,1,6,10,5,4,5,2,21 to 35,Female,656.2
142,Logistics Coordinator,4,8,2,3,2,6,7,5,2,3,2,51 or more,Male,633.5
143,City Bus Driver,10,10,4,5,2,5,7,4,8,10,2,36 to 50,Female,662.2
144,Train Conductor,7,3,1,7,2,2,2,4,3,5,2,21 to 35,Female,616.4
145,Logistics Coordinator,0,10,4,8,1,10,7,3,1,6,1,36 to 50,Male,663.2
146,Operations Manager,7,4,0,2,2,6,6,4,3,4,2,36 to 50,Male,592.5
147,Maintenance Technician,0,5,0,1,2,1,6,5,0,4,1,21 to 35,Male,552.4
148,Operations Manager,0,8,5,0,1,1,10,1,1,8,1,21 to 35,Male,653.5
149,Train Conductor,3,10,4,7,2,8,6,1,6,10,1,21 to 35,Female,701.7
150,Train Conductor,0,10,0,8,1,1,6,2,1,4,2,36 to 50,Male,654.4
151,Logistics Coordinator,1,7,2,8,2,10,4,2,5,3,2,36 to 50,Male,664.3
152,City Bus Driver,0,10,5,6,1,4,6,3,3,4,2,36 to 50,Female,702.6
153,Intercity Bus Driver,0,5,0,5,2,9,7,3,1,5,2,36 to 50,Male,623.9
154,Train Conductor,5,10,4,7,1,10,8,1,2,9,2,21 to 35,Male,716.1
155,Train Conductor,10,3,2,4,1,2,7,2,0,1,2,36 to 50,Female,614
156,Fleet Manager,0,2,5,5,1,3,8,1,1,4,1,21 to 35,Female,639.9
157,Maintenance Technician,0,5,0,7,1,3,8,1,2,3,2,21 to 35,Male,651.8
158,Fleet Manager,0,3,5,5,2,10,8,2,2,5,2,36 to 50,Male,644.7
159,Maintenance Technician,0,5,5,2,2,3,5,5,6,10,1,36 to 50,Female,651.2
160,Operations Manager,5,10,5,2,2,10,7,3,8,3,2,21 to 35,Male,683.6
161,Intercity Bus Driver,0,6,2,8,1,10,7,1,2,6,2,21 to 35,Male,688.7
162,Intercity Bus Driver,2,10,5,10,2,7,8,4,6,6,2,21 to 35,Female,720.6
163,City Bus Driver,0,10,1,7,2,6,8,3,6,2,2,36 to 50,Female,643.9
164,Maintenance Technician,0,2,5,7,2,5,8,3,2,2,2,51 or more,Male,655.6
165,Logistics Coordinator,5,4,2,7,2,2,7,4,4,5,2,36 to 50,Female,629.3
166,Operations Manager,2,1,5,3,1,3,8,3,0,4,2,51 or more,Male,624.6
167,Train Conductor,5,8,4,5,2,5,6,3,1,2,2,36 to 50,Female,634.8
168,Maintenance Technician,3,5,0,2,2,1,7,5,0,0,2,51 or more,Male,574.7
169,Depot Driver,1,10,3,7,1,10,6,3,1,10,2,36 to 50,Male,729.3
170,Maintenance Technician,8,10,1,4,2,10,8,3,3,7,2,Less than 20,Female,648.1
171,Depot Driver,1,4,2,8,1,3,8,2,3,3,2,21 to 35,Male,690.9
172,Intercity Bus Driver,0,10,3,8,1,10,7,1,10,10,2,36 to 50,Female,732.9
173,Environmental and Sustainability Manager,3,10,5,3,1,4,8,4,1,10,2,21 to 35,Male,689.4
174,Environmental and Sustainability Manager,0,10,5,8,1,10,7,3,4,5,2,51 or more,Female,727.8
175,Maintenance Technician,3,10,1,5,1,8,8,3,2,7,2,Less than 20,Female,693.6
176,Depot Driver,0,3,5,9,1,9,8,2,1,10,2,36 to 50,Female,700.6
177,Maintenance Technician,0,10,2,8,1,10,7,5,8,5,2,51 or more,Female,729.5
178,Operations Manager,0,10,2,8,1,2,7,3,6,6,2,21 to 35,Female,690.5
179,Logistics Coordinator,0,4,5,5,2,8,6,3,1,10,2,51 or more,Female,667.7
180,Train Conductor,10,10,5,9,2,4,6,2,4,8,1,36 to 50,Male,680.5
181,City Bus Driver,4,6,1,2,1,4,7,3,1,4,2,21 to 35,Female,634.8
182,Train Conductor,0,6,0,6,1,8,9,2,6,6,2,Less than 20,Male,709.1
183,Train Conductor,4,6,4,8,2,2,8,2,7,10,2,21 to 35,Female,683.9
184,Operations Manager,0,10,3,10,1,5,6,2,8,5,2,36 to 50,Female,721.5
185,Depot Driver,4,10,5,7,1,6,6,4,4,3,2,21 to 35,Male,679.2
186,Intercity Bus Driver,0,10,0,2,2,6,7,5,0,0,1,21 to 35,Female,594.4
187,Train Conductor,4,10,3,8,2,4,7,3,5,6,2,36 to 50,Female,658.6
188,Intercity Bus Driver,0,10,0,7,1,8,7,4,6,6,1,Less than 20,Male,656
189,Environmental and Sustainability Manager,5,7,1,7,1,4,8,3,8,3,1,36 to 50,Female,655.4
190,Operations Manager,10,8,0,10,1,8,7,2,2,0,1,21 to 35,Male,584.6
191,Intercity Bus Driver,3,3,3,5,1,4,6,2,3,8,2,Less than 20,Male,675.4
192,Logistics Coordinator,5,10,1,1,2,6,7,3,1,4,2,51 or more,Male,650.5
193,Logistics Coordinator,0,2,1,5,2,8,5,4,2,5,2,21 to 35,Female,636.9
194,City Bus Driver,0,4,5,3,2,4,9,2,3,1,1,21 to 35,Female,640.3
195,Operations Manager,0,3,3,9,2,2,7,1,3,5,2,36 to 50,Female,668.4
196,Fleet Manager,0,10,1,10,1,10,10,0,4,10,2,Less than 20,Male,719.9
197,Train Conductor,0,10,1,7,1,5,6,3,0,3,2,51 or more,Female,646.7
198,Logistics Coordinator,0,4,5,3,2,1,7,3,2,2,1,21 to 35,Female,629.1
199,Operations Manager,0,7,2,7,1,10,8,5,3,2,2,51 or more,Female,668.5
200,Intercity Bus Driver,2,2,0,1,1,2,2,4,3,2,1,21 to 35,Female,573.9
201,Intercity Bus Driver,0,10,3,5,2,7,7,5,1,7,1,36 to 50,Female,625.2
202,City Bus Driver,4,3,5,6,1,7,7,2,6,2,2,51 or more,Female,686.4
203,Depot Driver,10,10,5,8,1,10,7,3,8,10,2,36 to 50,Female,763.5
204,Train Conductor,0,6,5,8,1,5,6,1,8,3,2,36 to 50,Male,711.3
205,Environmental and Sustainability Manager,1,10,4,8,2,7,6,2,9,3,2,51 or more,Female,733.8
206,Train Conductor,10,10,4,8,1,2,6,4,8,5,2,51 or more,Female,697.1
207,Logistics Coordinator,0,9,2,7,2,5,9,4,7,8,2,51 or more,Female,706.8
208,Intercity Bus Driver,6,2,5,2,1,2,6,4,3,5,1,21 to 35,Female,627.4
209,Intercity Bus Driver,0,6,1,7,2,5,7,0,6,4,2,21 to 35,Female,687.7
210,Train Conductor,0,10,5,10,1,9,9,4,4,10,2,51 or more,Male,750.1
211,Environmental and Sustainability Manager,0,4,1,9,1,10,7,3,6,8,2,36 to 50,Female,727.8
212,Logistics Coordinator,10,2,0,10,2,1,3,5,1,5,2,21 to 35,Female,563.7
213,City Bus Driver,0,9,2,8,2,6,7,2,5,8,2,21 to 35,Female,701.5
214,Logistics Coordinator,0,8,5,3,1,4,7,3,5,6,2,51 or more,Male,692.6
215,Intercity Bus Driver,0,10,3,8,1,6,8,4,3,10,2,Less than 20,Female,694.9
216,Train Conductor,0,4,5,2,1,5,6,4,2,6,1,51 or more,Male,675.6
217,Maintenance Technician,10,6,5,3,1,3,7,2,4,2,2,Less than 20,Male,629.5
218,Fleet Manager,6,10,3,3,1,9,8,4,8,5,1,36 to 50,Male,670
219,City Bus Driver,10,10,1,7,2,5,7,3,1,3,2,51 or more,Female,648.6
220,Maintenance Technician,0,3,3,7,1,6,8,0,4,5,2,21 to 35,Female,698.3
221,Train Conductor,7,6,4,5,2,2,5,4,6,9,2,36 to 50,Female,651
222,City Bus Driver,0,10,4,8,1,5,8,1,5,9,2,51 or more,Female,721.9
223,Fleet Manager,0,10,2,10,1,4,10,3,6,3,2,21 to 35,Male,713.6
224,Operations Manager,1,2,3,5,1,9,9,3,3,9,1,21 to 35,Female,670.2
225,Train Conductor,0,10,2,8,2,5,8,3,8,8,2,51 or more,Female,735.5
226,Logistics Coordinator,0,3,3,7,1,10,7,2,3,3,2,21 to 35,Female,688.7
227,Maintenance Technician,10,0,0,4,1,10,5,5,1,2,1,21 to 35,Male,601.6
228,Logistics Coordinator,0,8,3,8,1,5,8,2,1,5,2,21 to 35,Female,681.1
229,Train Conductor,8,3,4,6,2,2,8,3,6,6,1,21 to 35,Female,641.4
230,Fleet Manager,0,10,5,10,1,8,8,0,10,8,2,36 to 50,Female,759.9
231,Logistics Coordinator,0,10,2,0,1,8,8,3,7,10,2,Less than 20,Female,714
232,Depot Driver,0,9,5,8,2,1,10,3,5,5,2,21 to 35,Female,687.5
233,Operations Manager,0,6,2,4,1,9,7,4,1,3,2,21 to 35,Male,647.7
234,Intercity Bus Driver,2,3,0,2,2,1,7,4,1,2,2,51 or more,Male,591.7
235,Maintenance Technician,7,4,3,10,1,6,8,2,8,6,1,Less than 20,Female,700
236,City Bus Driver,0,8,5,7,1,2,8,3,7,4,2,36 to 50,Female,675.4
237,Train Conductor,10,7,5,7,2,10,4,4,1,1,2,36 to 50,Male,609.9
238,Environmental and Sustainability Manager,0,2,3,9,1,7,9,2,3,4,1,Less than 20,Female,681.7
239,Depot Driver,0,7,5,4,1,8,9,2,4,4,2,21 to 35,Male,698.9
240,Logistics Coordinator,10,3,5,9,2,5,6,4,9,10,1,36 to 50,Female,665.4
241,Operations Manager,10,10,5,8,1,10,8,2,8,5,2,Less than 20,Male,729.7
242,Operations Manager,0,3,5,7,1,3,8,1,6,10,2,36 to 50,Male,726.6
243,Train Conductor,3,4,1,7,1,5,7,3,3,3,2,21 to 35,Male,662.2
244,Train Conductor,10,10,5,3,2,10,5,5,2,8,1,36 to 50,Female,623.7
245,Train Conductor,0,6,1,7,2,3,6,1,3,6,2,51 or more,Male,661.6
246,Fleet Manager,0,10,0,8,1,4,8,2,8,3,2,21 to 35,Female,714.9
247,Train Conductor,0,10,1,7,1,10,7,2,10,2,1,21 to 35,Female,692.1
248,Train Conductor,5,10,5,6,2,9,4,3,2,7,2,36 to 50,Male,699.8
249,Logistics Coordinator,5,10,3,6,2,10,7,3,2,10,2,36 to 50,Female,687
250,Train Conductor,0,10,5,10,1,10,8,2,10,10,2,21 to 35,Male,787.5
251,Train Conductor,0,5,3,7,1,5,7,3,1,6,2,21 to 35,Female,657.1
252,Depot Driver,0,4,3,4,1,4,9,1,3,10,2,21 to 35,Male,713.4
253,Logistics Coordinator,7,3,3,4,2,10,7,5,3,3,2,21 to 35,Male,637.7
254,Logistics Coordinator,0,10,0,8,2,7,6,4,1,4,1,Less than 20,Male,613.1
255,Depot Driver,0,9,5,7,1,10,6,4,3,4,1,21 to 35,Female,691.9
256,City Bus Driver,2,8,1,9,1,4,6,2,2,5,1,Less than 20,Female,672
257,City Bus Driver,0,5,5,9,1,5,7,2,1,8,2,36 to 50,Female,733.6
258,Depot Driver,0,1,2,4,1,5,5,2,2,7,1,21 to 35,Female,621
259,Train Conductor,0,10,5,4,1,3,6,2,1,3,1,36 to 50,Female,654.8
260,Fleet Manager,1,4,5,9,1,9,8,3,1,6,2,51 or more,Male,685.3
261,Operations Manager,0,6,5,10,1,10,6,2,4,8,2,51 or more,Male,736.1
262,Environmental and Sustainability Manager,5,10,4,5,1,10,8,1,5,10,2,51 or more,Female,724.6
263,City Bus Driver,0,10,0,7,2,5,4,5,10,10,2,21 to 35,Male,705.8
264,Train Conductor,7,7,5,7,1,3,6,3,6,7,2,51 or more,Female,687.1
265,Train Conductor,0,6,2,6,1,6,8,4,9,9,2,36 to 50,Female,723.8
266,Train Conductor,0,10,4,7,2,6,8,4,4,6,2,36 to 50,Female,688.1
267,Maintenance Technician,0,10,5,0,1,10,6,2,2,7,2,36 to 50,Male,731
268,Logistics Coordinator,1,1,5,3,2,6,9,4,2,2,2,51 or more,Female,640.7
269,Environmental and Sustainability Manager,0,10,5,1,2,5,6,5,0,10,1,36 to 50,Female,628
270,Fleet Manager,7,3,0,9,1,4,6,0,4,3,2,21 to 35,Male,641.4
271,City Bus Driver,2,3,2,7,2,5,6,4,5,4,1,36 to 50,Female,626.3
272,City Bus Driver,10,10,2,7,1,5,8,3,6,8,2,21 to 35,Female,691.3
273,Environmental and Sustainability Manager,5,5,5,5,1,4,5,2,3,5,2,21 to 35,Female,671.8
274,Logistics Coordinator,0,4,2,5,2,3,7,4,1,3,2,21 to 35,Female,629.5
275,Intercity Bus Driver,10,2,0,1,2,3,7,5,2,4,2,21 to 35,Female,563.2
276,Train Conductor,1,7,3,6,2,10,7,3,0,10,1,21 to 35,Male,653
277,Maintenance Technician,3,10,3,7,1,9,8,2,3,6,2,Less than 20,Female,724.4
278,City Bus Driver,0,10,4,4,2,10,5,4,2,3,1,36 to 50,Female,632.2
279,Intercity Bus Driver,0,3,1,6,2,6,9,2,4,10,2,51 or more,Female,695.1
280,Environmental and Sustainability Manager,10,10,0,4,2,4,8,4,2,6,2,Less than 20,Female,645.2
281,City Bus Driver,0,3,5,10,2,4,7,1,2,8,2,51 or more,Female,694.3
282,Environmental and Sustainability Manager,4,7,3,5,2,5,7,3,3,8,2,21 to 35,Male,660.5
283,Train Conductor,0,10,4,3,2,3,6,4,8,6,1,51 or more,Female,634.4
284,Train Conductor,1,3,4,6,1,10,8,2,10,4,2,51 or more,Male,700.8
285,Logistics Coordinator,0,1,0,2,2,2,7,1,2,4,2,36 to 50,Male,598.7
286,Depot Driver,10,10,5,4,1,10,10,3,4,4,1,Less than 20,Female,696.1
287,Fleet Manager,0,6,5,7,1,5,7,2,0,5,2,51 or more,Female,696.2
288,Intercity Bus Driver,0,3,5,7,1,8,6,2,5,6,1,21 to 35,Female,691.5
289,Fleet Manager,5,6,4,6,1,10,7,3,5,7,2,21 to 35,Female,698.9
290,Maintenance Technician,0,5,3,8,1,7,5,4,2,10,1,21 to 35,Male,680.9
291,Intercity Bus Driver,0,6,0,5,1,6,8,3,4,7,2,21 to 35,Male,689.8
292,Environmental and Sustainability Manager,0,4,2,7,1,5,7,3,6,4,1,Less than 20,Male,635
293,Operations Manager,10,10,4,3,2,4,7,1,2,0,2,51 or more,Male,645
294,Operations Manager,0,5,3,9,1,5,7,1,2,6,1,51 or more,Female,657.1
295,Train Conductor,1,10,4,6,2,6,6,2,9,4,2,51 or more,Female,726.8
296,City Bus Driver,8,1,0,2,2,1,6,4,0,6,2,21 to 35,Male,577.9
297,Intercity Bus Driver,10,10,1,10,1,10,8,2,8,10,2,21 to 35,Female,748.4
298,Train Conductor,3,10,2,7,1,8,9,2,1,3,1,21 to 35,Female,664.9
